Front,Back
"這段代碼有什麼安全風險？<br><code>api_key = ""sk-proj-abc123...""</code>","硬編碼憑證風險<br>✅ 應改為：<code>api_key = os.getenv('API_KEY')</code><br>⚠️ 危險原因：<br>- commit 後可從 Git 歷史找到<br>- 推送到 GitHub 會被掃描機器人發現<br>- 導致 API 被盜用"
"這段代碼有什麼安全風險？<br><code>query = f""SELECT * FROM users WHERE name = '{user_input}'""</code>","SQL 注入風險<br>✅ 應改為：<code>cursor.execute(""SELECT * FROM users WHERE name = ?"", (user_input,))</code><br>⚠️ 攻擊範例：<br>輸入 <code>' OR '1'='1</code> 會返回所有用戶資料"
"用戶訪問 <code>/download/../../etc/passwd</code> 會發生什麼？這是什麼攻擊？","路徑遍歷攻擊 (Path Traversal)<br>⚠️ 後果：可能讀取 /etc/passwd 系統文件<br>✅ 防護措施：<br><code>from pathlib import Path<br>UPLOAD_DIR = Path(""/uploads"").resolve()<br>file_path = (UPLOAD_DIR / filename).resolve()<br>file_path.relative_to(UPLOAD_DIR)  # 驗證</code>"
"為什麼 <code>pickle.loads(user_input)</code> 危險？","不安全反序列化，可執行任意代碼 (RCE)<br>⚠️ 危險原因：pickle 可以包含可執行代碼<br>✅ 安全替代：<br>- <code>json.loads(user_input)</code><br>- 或使用 pydantic 驗證數據結構"
"<code>chmod 777 config.json</code> 有什麼問題？","過度權限，所有用戶可讀寫執行<br>✅ 應改為：<code>chmod 600 config.json</code><br>- 6 (rw-): 擁有者可讀寫<br>- 0 (---): 群組無權限<br>- 0 (---): 其他用戶無權限"
"如何設置 git-secrets 防止憑證洩漏？(寫出 2 個關鍵指令)","<code>git secrets --install</code> # 安裝 hooks<br><code>git secrets --register-aws</code> # 註冊 AWS 模式<br><br>進階：<br><code>git secrets --add 'sk-[a-zA-Z0-9]{32,}'</code> # OpenAI keys<br><code>git secrets --scan</code> # 掃描當前文件"
"如何安全地執行包含用戶輸入的 SQL 查詢？","使用參數化查詢 (Parameterized Query)<br><br>SQLite:<br><code>cursor.execute(""SELECT * FROM users WHERE id = ?"", (user_id,))</code><br><br>PostgreSQL:<br><code>cursor.execute(""SELECT * FROM users WHERE id = %s"", (user_id,))</code><br><br>或使用 ORM：<br><code>session.query(User).filter(User.id == user_id).first()</code>"
"如何安全地存儲和使用 API keys？(3 個步驟)","1. 創建 .env 文件：<br><code>echo ""API_KEY=sk-xxx..."" > .env</code><br><br>2. 確保 .env 在 .gitignore 中：<br><code>echo "".env"" >> .gitignore</code><br><br>3. 在代碼中使用：<br><code>from dotenv import load_dotenv<br>load_dotenv()<br>api_key = os.getenv('API_KEY')</code>"
"發現 API key 已 commit 到 GitHub，最緊急的 3 個步驟是？","⏱️ 15 分鐘應急流程：<br><br>1️⃣ 立即撤銷 key (< 3 min)<br>- 登入服務提供商 dashboard<br>- 點擊 ""Revoke"" 撤銷 key<br><br>2️⃣ 生成新 key 並更新配置 (< 5 min)<br>- 創建新 key 並存入 .env<br>- 重啟應用服務<br><br>3️⃣ 從 Git 歷史移除 (< 7 min)<br>- 使用 BFG Repo-Cleaner<br>- 強制推送：<code>git push origin --force --all</code>"
"接受 AI 生成代碼前必問的 5 個問題？(用口訣記憶)","記憶口訣：「密碼路序權」<br><br>1️⃣ 密 - 硬編碼<b>密</b>碼/憑證？<br>2️⃣ 碼 - SQL 注入（SQL <b>碼</b>）？<br>3️⃣ 路 - <b>路</b>徑遍歷？<br>4️⃣ 序 - 不安全反<b>序</b>列化？<br>5️⃣ 權 - 過度<b>權</b>限？<br><br>每個都要快速掃描！"
